id,name,author,content,tags
b466d53d14b24f0f9f555b1d4e5d444b,宫娃歌,唐代 李贺,"
蜡光高悬照纱空，花房夜捣红守宫。<br>象口吹香毾覴暖，七星挂城闻漏板。<br>寒入罘罳殿影昏，彩鸾帘额著霜痕。<br>啼蛄吊月钩阑下，屈膝铜铺锁阿甄。<br>梦入家门上沙渚，天河落处长洲路。<br>愿君光明如太阳，放妾骑鱼撇波去。
","写人,孤寂,同情,遭遇"
f01c017159cc4553b446fecc8f2fa715,最高楼·吾衰矣,宋代 辛弃疾,"
<br>
<br>
","想象,生活,归隐"
d31b2fb486a54672bf8bd9d469d4bfa5,村晚,宋代 雷震,"
草满池塘水满陂，山衔落日浸寒漪。<br>牧童归去横牛背，短笛无腔信口吹。
","农村,写景,儿童"
90a3db8f52ff4e969b7418b2cb201b5e,与毛令方尉游西菩提寺二首·其一,宋代 苏轼,"
推挤不去已三年，鱼鸟依然笑我顽。<br>人未放归江北路，天教看尽浙西山。<br>尚书清节衣冠后，处士风流水石间。<br>一笑相逢那易得，数诗狂语不须删。
","抒情,述志"
f6d3e1c7612742eba22fec6eeca43337,白石滩,唐代 王维,"
清浅白石滩，绿蒲向堪把。<br>家住水东西，浣纱明月下。
","写景,山水"
e0b81c79a3f44fd68a6782865ae5358c,南乡子·妙手写徽真,宋代 秦观,"
妙手写徽真，水剪双眸点绛唇。疑是昔年窥宋玉，东邻，只露墙头一半身。<br>往事已酸辛，谁记当年翠黛颦？尽道有些堪恨处，无情，任是无情也动人。
",题画
9e5258800790464baf850e5e027c4728,金陵图,唐代 韦庄,"
谁谓伤心画不成，画人心逐世人情。 <br>君看六幅南朝事，老木寒云满故城。
","唐诗三百首,咏史怀古,题画"
9ab078cc7a6c4135864c2c0d1ffad7e0,湖上,宋代 徐元杰,"
花开红树乱莺啼，草长平湖白鹭飞。<br>风日晴和人意好，夕阳箫鼓几船归。
","古诗三百首,春游,西湖,写景"
54ffd391e8bb4bb899f2ce8d39b59d7f,咏桂,唐代 李白,"
世人种桃李，皆在金张门。<br>攀折争捷径，及此春风暄。<br>一朝天霜下，荣耀难久存。<br>安知南山桂，绿叶垂芳根。<br>清阴亦可托，何惜树君园。
","写花,赞美"
4aefb39133d649dba5abe9e00b379c36,上洛桥,唐代 李益,"
金谷园中柳，春来似舞腰。<br>那堪好风景，独上洛阳桥。
","写景,怀古"
0cf5343c308c489c8155e2fc412fd810,饯别王十一南游,唐代 刘长卿,"
望君烟水阔，挥手泪沾巾。<br>飞鸟没何处，青山空向人。<br>长江一帆远，落日五湖春。<br>谁见汀洲上，相思愁白蘋。
","唐诗三百首,送别,友情"
d87b2d9ef41742c5ae219d8d70c77caa,过五原胡儿饮马泉 / 盐州过饮马泉,唐代 李益,"
绿杨著水草如烟，旧是胡儿饮马泉。<br>几处吹笳明月夜，何人倚剑白云天。<br>从来冻合关山路，今日分流汉使前。<br>莫遣行人照容鬓，恐惊憔悴入新年。
","抒情,感慨,壮志未酬"
e0867ad0ee364269a8d9dd3b6f13bc55,待储光羲不至,唐代 王维,"
重门朝已启，起坐听车声。<br>要欲闻清佩，方将出户迎。<br>晚钟鸣上苑，疏雨过春城。<br>了自不相顾，临堂空复情。
",友情
200182c10a7c410fa0a1cca559858658,述国亡诗,五代 花蕊夫人,"
君王城上竖降旗，妾在深宫那得知？<br>十四万人齐解甲，更无一个是男儿！
","抒情,爱国"
cc04af84d35140caae31a732f985446b,与殷晋安别,魏晋 陶渊明,"
<br>
<br>
","友人,惜别,旷达"
347948a0f9ee47558eabfa5da5d6e1a0,咏史,唐代 高适,"
尚有绨袍赠，应怜范叔寒。<br>不知天下士，犹作布衣看。
","叙事,咏史,讽刺"
fb73e69e288043b0bf4c0c4eadad24f4,喜春来·七夕,元代 佚名,"
天孙一夜停机暇，人世千家乞巧忙，想双星心事密话头长。七月七，回首笑三郎。
",七夕节
873192bad0ed486b84918ce38ceaec09,忆仙姿·莲叶初生南浦,宋代 贺铸,"
莲叶初生南浦，两岸绿杨飞絮。向晚鲤鱼风，断送彩帆何处？凝伫，凝伫，楼外一江烟雨。
","秋天,送别,离愁,相思"
4341ab9c278e44d5a7bf897fe846c7e2,高山流水·素弦一一起秋风,宋代 吴文英,"
<br>
<br>
","写人,赠酬,抒情"
0ae5330975fe4fb9a5a0934ec374b928,八至,唐代 李冶,"
至近至远东西，至深至浅清溪。<br>至高至明日月，至亲至疏夫妻。
",哲理
75eb9a060aca452c91e0eb1e298a0b42,龟虽寿,两汉 曹操,"
<br>
","古诗三百首,初中古诗,咏志,哲理"
f873ab8e99c64dbcaa30ab4ff2afd8a1,寻隐者不遇,宋代 魏野,"
寻真误入蓬莱岛，香风不动松花老。<br>采芝何处未归来，白云遍地无人扫。
","向往,隐居,生活"
dc8f6a9177004546a8de6fd9373a4f3d,望湘人·记归程过半,明代 陆宏定,"
记归程过半，家住天南，吴烟越岫飘渺，转眼秋冬，几回新月，偏向离人燎皎。急管宵残，疏钟梦断，客衣寒悄。忆临岐，泪染湘罗，怕助风霜易老。<br>是尔翠黛慵描，正恹恹憔悴，向予低道：念此去谁怜，冷暖关山路杳？才携手教、款语丁宁，眼底征云缭绕。悔不剪、春雨蘼芜，牵惹愁怀多少！
","羁旅,抒情,思乡,怀人"
e7fbdd19ae044378ac295577ae8c2cbc,墨子怒耕柱子,先秦 墨子及弟子 撰,"
<br>
","初中文言文,寓理,教育,故事"
680c3f1c5b774d3ba692e2d8936ee760,泊樵舍,清代 施闰章,"
<br>
","写景,战争"
e6452ec9ede74ba18848f72f79220e2c,青门饮·寄宠人,宋代 时彦,"
胡马嘶风，汉旗翻雪，彤云又吐，一竿残照。古木连空，乱山无数，行尽暮沙衰草。星斗横幽馆，夜无眠、灯花空老。雾浓香鸭，冰凝泪烛，霜天难晓。 <br>长记小妆才了，一杯未尽，离怀多少。醉里秋波，梦中朝雨，都是醒时烦恼。料有牵情处，忍思量、耳边曾道。甚时跃马归来，认得迎门轻笑。
","宋词三百首,写景,怀人,羁旅"
cc3b6443e27f4329828d55ac8666d33e,雪梅香·景萧索,宋代 柳永,"
景萧索，危楼独立面晴空。动悲秋情绪，当时宋玉应同。渔市孤烟袅寒碧，水村残叶舞愁红。楚天阔，浪浸斜阳，千里溶溶。 <br>临风。想佳丽，别后愁颜，镇敛眉峰。可惜当年，顿乖雨迹云踪。雅态妍姿正欢洽，落花流水忽西东。无憀恨、相思意，尽分付征鸿。
",
ca7ab76fbb6b40c8b20c8976261bcf22,山中杂诗,南北朝 吴均,"
<br>
","古诗三百首,初中古诗,山村,写景,生活"
bd717ef8c01445b4b04b848c7e2aae6a,鹦鹉曲·农夫渴雨,元代 冯子振,"
年年牛背扶犁住，近日最懊恼杀农父。稻苗肥恰待抽花，渴煞青天雷雨。<br>〔幺〕恨残霞不近人情，截断玉虹南去。望人间三尺甘霖，看一片闲云起处。
","农民,关心,同情"
3d72c4fc28474fdd87256e6e27d43ab5,眼儿媚·萋萋芳草小楼西,明代 刘基,"
萋萋芳草小楼西，云压雁声低。两行疏柳，一丝残照，万点鸦栖。<br>春山碧树秋重绿，人在武陵溪。无情明月，有情归梦，同到幽闺。
","婉约,秋天,写景,相思"
341485558b35433db85e0c59e801f8d1,永遇乐·舟中感旧,清代 徐灿,"
无恙桃花，依然燕子，春景多别。前度刘郎，重来江令，往事何堪说。逝水残阳，龙归剑杳，多少英雄泪血。千古恨、河山如许，豪华一瞬抛撇。<br>白玉楼前，黄金台畔，夜夜只留明月。休笑垂杨，而今金尽，秾李还消歇。世事流云，人生飞絮，都付断猿悲咽。西山在、愁容惨黛，如共人凄切。
","写花,写鸟,写景,抒情,愁苦"
b6dda17074d2403a98c0806b84a1b779,横江词六首,唐代 李白,"
<br>
<br>
<br>
<br>
<br>
<br>
","乐府,写景,抒情,山水,组诗"
a7e428fcd631480f8f832b1eac20de28,小松,唐代 杜荀鹤,"
自小刺头深草里，而今渐觉出蓬蒿。 <br>时人不识凌云木，直待凌云始道高。
","咏物,讽喻,励志,哲理"
f96b6b266f584f7299aa292caa539fa5,青杏儿·风雨替花愁,元代 赵秉文,"
<br>
","写花,惜春,闲适"
737b54940b6c4a26b4af460cea3e1c15,点绛唇·金谷人归,宋代 姜夔,"
金谷人归，绿杨低扫吹笙道。数声啼鸟，也学相思调。<br>月落潮生，掇送刘郎老。淮南好，甚时重到？陌上生春草。
","离别,抒情,不舍"
75781d7b29994b949322f126cf091036,送崔融,唐代 杜审言,"
<br>
","送别,友人,祝愿"
9bc98dc1828f47b9a537f2800633c70e,邯郸少年行,唐代 高适,"
邯郸城南游侠子，自矜生长邯郸里。<br>千场纵博家仍富，几度报仇身不死。<br>宅中歌笑日纷纷，门外车马常如云，<br>未知肝胆向谁是，今人却忆平原君。<br>君不见即今交态薄，黄金用尽还疏索。<br>以兹感叹辞旧游，更于时事无所求。<br>且与少年饮美酒，往来射猎西山头。
","游侠,生活"
09170470222546079ec070917cf2ab2e,念奴娇·梅,宋代 辛弃疾,"
疏疏淡淡，问阿谁、堪比天真颜色。笑杀东君虚占断，多少朱朱白白。雪里温柔，水边明秀，不借春工力。骨清香嫩，迥然天与奇绝。 <br>尝记宝篽寒轻，琐窗人睡起，玉纤轻摘。漂泊天涯空瘦损，犹有当年标格。万里风烟，一溪霜月，未怕欺他得。不如归去，阆苑有个人忆。
","咏物,梅花,抒怀"
bba58b190d904a1a9e80174b851e96b1,撼庭秋·别来音信千里,宋代 晏殊,"
别来音信千里，恨此情难寄。碧纱秋月，梧桐夜雨，几回无寐。<br>楼高目断，天遥云黯，只堪憔悴。念兰堂红烛，心长焰短，向人垂泪。
","宋词精选,咏物,抒情,思念"
779362714aff4900bad7d39b99aacf14,雨中花·指点虚无征路,宋代 秦观,"
指点虚无征路，醉乘斑虬，远访西极。正天风吹落，满空寒白。玉女明星迎笑，何苦自淹尘域？正火轮飞上，雾卷烟开，洞观金碧。<br>重重观阁，横枕鳌峰，水面倒衔苍石。随处有寄香幽火，杳然难测。好是蟠桃熟后，阿环偷报消息。在青天碧海，一枝难遇，占取春色。
","抒情,心情,惆怅"
b495a324361c463dbea7c13d5a574bc2,念奴娇·天南地北,元代 施耐庵,"
天南地北，问乾坤，何处可容狂客？借得山东烟水寨，来买凤城春色。翠袖围香，绛绡笼雪，一笑千金值。神仙体态，薄幸如何消得？<br>想芦叶滩头，蓼花汀畔，皓月空凝碧。六六雁行连八九，只待金鸡消息。义胆包天，忠肝盖地，四海无人识。离愁万种，醉乡一夜头白。
","女子,理想"
6c7af938b140412c8e05b5f671a5d66a,念奴娇·赤壁怀古,宋代 苏轼,"
大江东去，浪淘尽，千古风流人物。<br>故垒西边，人道是，三国周郎赤壁。<br>乱石穿空，惊涛拍岸，卷起千堆雪。<br>江山如画，一时多少豪杰。<br>遥想公瑾当年，小乔初嫁了，雄姿英发。<br>羽扇纶巾，谈笑间，樯橹灰飞烟灭。(樯橹 一作：强虏)<br>故国神游，多情应笑我，早生华发。<br>人生如梦，一尊还酹江月。(人生 一作：人间；尊 通：樽)
","宋词三百首,豪放,长江,咏史怀古,抒怀,怀才不遇"
02235922366a4f699e48aaf1fb363bd9,堂成,唐代 杜甫,"
<br>
","写景,抒情"
6b55782073ab47f6afd9900dae50993a,大德歌·冬景,元代 关汉卿,"
雪粉华，舞梨花，再不见烟村四五家。密洒堪图画，看疏林噪晚鸦。黄芦掩映清江下，斜缆着钓鱼艖。
","冬天,写景,向往,闲适,生活"
50ccda5b5af44221805d530c6a1a4b1b,中夜起望西园值月上,唐代 柳宗元,"
觉闻繁露坠，开户临西园。<br>寒月上东岭，泠泠疏竹根。<br>石泉远逾响，山鸟时一喧。<br>倚楹遂至旦，寂寞将何言。
","贬谪,生活,写景,抒情"
3c35c8056dc34fafbaffba74da128eb6,丝衣,先秦 佚名,"
丝衣其紑，载弁俅俅。自堂徂基，自羊徂牛，鼐鼎及鼒，兕觥其觩。旨酒思柔。不吴不敖，胡考之休。
","诗经,祭祀"
48c5e404f1e24ea49f8cac801b81bdbd,织妇叹,宋代 戴复古,"
春蚕成丝复成绢，养得夏蚕重剥茧。<br>绢未脱轴拟输官，丝未落车图赎典。<br>一春一夏为蚕忙，织妇布衣仍布裳。<br>有布得着犹自可，今年无麻愁杀我。
","写人,农民,同情"
6f806ff84b47410386f45696f36e7468,春日,宋代 朱熹,"
胜日寻芳泗水滨，无边光景一时新。<br>等闲识得东风面，万紫千红总是春。
","古诗三百首,小学古诗,春天,写景,哲理,早教,最美,小学生必背古诗70首,小学生必背古诗80首"
75a7f29dcc144f5a9b09466f1be500e0,渭川田家,唐代 王维,"
斜阳照墟落，穷巷牛羊归。(斜阳 一作：斜光)<br>野老念牧童，倚杖候荆扉。<br>雉雊麦苗秀，蚕眠桑叶稀。<br>田夫荷锄至，相见语依依。<br>即此羡闲逸，怅然吟式微。
","唐诗三百首,田园,归隐,劳动"
68bf351977d24321a4e4ab649e514f28,踏莎行·碧海无波,宋代 晏殊,"
碧海无波，瑶台有路。思量便合双飞去。当时轻别意中人，山长水远知何处。 <br>绮席凝尘，香闺掩雾。红笺小字凭谁附。高楼目尽欲黄昏，梧桐叶上萧萧雨。
","秋天,离别"
2178e780c00f40ba894c260b751051c1,杨柳枝·馆娃宫外邺城西,唐代 温庭筠,"
馆娃宫外邺城西，远映征帆近拂堤。<br>系得王孙归意切，不关芳草绿萋萋。
","女子,抒情"
5a0ab35e46a44517a17241d8525f9bf7,丑奴儿令·沉思十五年中事,清代 龚自珍,"
沉思十五年中事，才也纵横，泪也纵横，双负箫心与剑名。<br>春来没个关心梦，自忏飘零，不信飘零，请看床头金字经。
","回忆,人生,壮志未酬,感慨"
775be0a748b4416da0972a12f463d73c,东郊,唐代 韦应物,"
吏舍跼终年，出郊旷清曙。<br>杨柳散和风，青山澹吾虑。<br>依丛适自憩，缘涧还复去。<br>微雨霭芳原，春鸠鸣何处。<br>乐幽心屡止，遵事迹犹遽。<br>终罢斯结庐，慕陶直可庶。
","唐诗三百首,春天,生活"
5cb4105903df4c5e9b22ce81f16602e1,秋波媚·七月十六日晚登高兴亭望长安南山,宋代 陆游,"
秋到边城角声哀，烽火照高台。悲歌击筑，凭高酹酒，此兴悠哉。<br>多情谁似南山月，特地暮云开。灞桥烟柳，曲江池馆，应待人来。
","宋词三百首,月亮,秋天,爱国,情怀"
87753cc6b0e748eea95097c84fa1dadd,秋晓行南谷经荒村,唐代 柳宗元,"
杪秋霜露重，晨起行幽谷。<br>黄叶覆溪桥，荒村唯古木。<br>寒花疏寂历，幽泉微断续。<br>机心久已忘，何事惊麋鹿。
","秋天,纪行"
21e1486e672445ec8958be050acc6330,齐天乐·送童瓮天兵后归杭,宋代 詹玉,"
相逢唤醒京华梦，吴尘暗斑吟发。倚担评花，认旗沽酒，历历行歌奇迹。吹香弄碧，有坡柳风情，逋梅月色。画鼓红船，满湖春水断桥客。<br>当时何限俊侣，甚花天月地，人被云隔。却载苍烟，更招白鹭，一醉修江又别。今回记得。再折柳穿鱼，赏梅催雪。如此湖山，忍教人更说。
","送别,写景,西湖,抒情"
19c2f847440b400f8a241cbfe03bb803,明月夜留别,唐代 李冶,"
离人无语月无声，明月有光人有情。<br>别后相思人似月，云间水上到层城。
","月夜,留别,相思"
73e6cf6c2fb24a9cb567c9a924a98610,裴给事宅白牡丹,唐代 卢纶,"
长安豪贵惜春残，争玩街西紫牡丹。 <br>别有玉盘承露冷，无人起就月中看。
","咏物,写花,牡丹,赞美"
