name,cover,price,author,publisher,isbn,publish_date,pages,path
资料目录,https://a.dushu.com/img/n200.png,¥0.00,湖南省农业机械研究所情报资料室编,湖南省农业机械研究所情报资料室,,1967-01-01,50页,中国文学论著集目续编.jpg
馆藏肥料书目,https://a.dushu.com/img/n200.png,¥0.00,北京图书馆参考组编,北京图书馆参考组,,1958-01-01,42页,中国文学论著集目续编.jpg
馆藏畜牧书目：初稿,https://a.dushu.com/img/n200.png,¥0.00,首都图书馆编,首都图书馆,,1958-01-01,2册，24页，34页,中国文学论著集目续编.jpg
文献索引：劳动卫生职业病,https://a.dushu.com/img/n200.png,¥0.00,上海市劳动卫生职业病防治院编,上海市劳动卫生职业病防治院,,1972-01-01,49页,中国文学论著集目续编.jpg
儿童保健资料索引,https://a.dushu.com/img/n200.png,¥0.00,上海图书馆编,上海图书馆,,1958-01-01,34页,中国文学论著集目续编.jpg
广东省中山图书馆藏中国医药书目,https://a.dushu.com/img/n200.png,¥0.00,广东省中山图书馆编,广东省中山图书馆,,1958-01-01,194页,中国文学论著集目续编.jpg
中国医史外文文献索引：1682-1965,https://a.dushu.com/img/n200.png,¥2.70,王吉民，傅维康编,上海中医学院医史博物馆,,1966-01-01,274页,中国文学论著集目续编.jpg
中国科学院图书馆藏外文化学化工书目,https://a.dushu.com/img/n200.png,¥0.00,中国科学院图书馆编,中国科学院图书馆,,1958-01-01,249页,中国文学论著集目续编.jpg
国际标准化组织（ISO）建议与标准目录 国际电工委员会（IEC）推荐标准目录：1972年合订本,https://a.dushu.com/img/n200.png,¥0.50,中国科学技术情报研究所编译,科学技术文献出版社,,1973-01-01,93页,中国文学论著集目续编.jpg
特种文献目录,https://a.dushu.com/img/n200.png,¥0.00,陕西省科技情报研究所编辑,陕西省科技情报研究所,,1967-01-01,48页,中国文学论著集目续编.jpg
1957年苏联建筑期刊文献索引,https://a.dushu.com/img/n200.png,¥0.00,建筑工程部技术情报局编,建筑工程部技术情报局,,1958-01-01,287页,中国文学论著集目续编.jpg
设计革命运动经验总结资料摘要汇编,https://a.dushu.com/img/n200.png,¥0.00,冶金部长沙有色冶金设计院编,冶金部长沙有色冶金设计院,,1966-01-01,14页,中国文学论著集目续编.jpg
建筑工程期刊索引：1950-1957,https://a.dushu.com/img/n200.png,¥0.00,冶金工业部建筑研究院资料室编,北京冶金工业部,,1958-01-01,423页,中国文学论著集目续编.jpg
苏联“水利工程建设”期刊水利科学论文索引：1951-1956年,https://a.dushu.com/img/n200.png,¥0.50,中国科学院水利科学研究院，水利电力部水利科学研究院编,中国科学院水利科学研究院,,1958-01-01,109页,中国文学论著集目续编.jpg
美国“土木工程师会年报”水利科学论文索引：1930-1955年,https://a.dushu.com/img/n200.png,¥0.65,中国科学院水利科学研究院，水利电力部水利科学研究院编,水利电力部水利科学研究院,,1958-01-01,130页,中国文学论著集目续编.jpg
全苏水工科学研究院院报目录,https://a.dushu.com/img/n200.png,¥0.35,中国科学院水利科学研究院，水利电力部水利科学研究院编,水利电力部水利科学研究院,,1958-01-01,87页,中国文学论著集目续编.jpg
农业增产推荐图书目录,https://a.dushu.com/img/n200.png,¥0.00,重庆市图书馆编,重庆市图书馆,,1958-01-01,20页,中国文学论著集目续编.jpg
医学目录,https://a.dushu.com/img/n200.png,¥0.00,泸州市图书馆编,泸州市图书馆,,1956-01-01,36页,中国文学论著集目续编.jpg
中华医学会 牛惠生图书馆中文医书目录,https://a.dushu.com/img/n200.png,¥0.00,范行〓编,上海中华医学会,,1949-01-01,126页,中国文学论著集目续编.jpg
针炙文献索引：1959-1965,https://a.dushu.com/img/n200.png,¥1.60,上海中医医史博物馆编辑,上海中医学院医史博物馆,,1972-01-01,254页,中国文学论著集目续编.jpg
中药研究资料目录：1970-1971,https://a.dushu.com/img/n200.png,¥0.00,中医研究院中药研究所资料室编辑,中医研究院中药研究所资料室,,1972-01-01,67页,中国文学论著集目续编.jpg
71年1-8月份双革项目内容摘要,https://a.dushu.com/img/n200.png,¥0.00,交通部天津机车车辆机械工厂编,交通部天津机车车辆机械工厂,,1971-01-01,16页,中国文学论著集目续编.jpg
第七届国际癌肿会议文献索引,https://a.dushu.com/img/n200.png,¥1.02,中国科学技术情报研究所编,中国科学技术情报研究所,,1958-01-01,118页,中国文学论著集目续编.jpg
血吸虫病资料索引,https://a.dushu.com/img/n200.png,¥0.00,湖南省中山图书馆编,湖南省中山图书馆,,1958-01-01,38页,中国文学论著集目续编.jpg
馆藏机械工程书目：补编,https://a.dushu.com/img/n200.png,¥0.00,北京图书馆参考研究组编,图书馆参考研究组,,1956-01-01,194页,中国文学论著集目续编.jpg
滚珠轴承参考资料索引：附图书目录,https://a.dushu.com/img/n200.png,¥0.00,重庆市图书馆编,重庆市图书馆,,1958-01-01,12页,中国文学论著集目续编.jpg
馆藏机械工程图书目录：俄文部份,https://a.dushu.com/img/n200.png,¥0.00,上海图书馆编,上海图书馆,,1958-01-01,42页,中国文学论著集目续编.jpg
流型性乙型脑炎文献索引：1949-1958,https://a.dushu.com/img/n200.png,¥0.00,中国医学科学院病毒系，中国科学院情报研究室编,中国医学科学院,,1958-01-01,108页,中国文学论著集目续编.jpg
北京图书馆馆藏古农书目,https://a.dushu.com/img/n200.png,¥0.00,北京图书馆参考研究组编,北京图书馆参考研究组,,1956-01-01,64页,中国文学论著集目续编.jpg
冠心病资料目录索引,https://a.dushu.com/img/n200.png,¥0.00,福建省晋江地区第二医院编,福建省晋江地区第二医院,,1972-01-01,27页,中国文学论著集目续编.jpg
馆藏农业书刊目录,https://a.dushu.com/img/n200.png,¥0.00,北京图书馆参考研究组编,北京图书馆参考研究组,,1956-01-01,239页,中国文学论著集目续编.jpg
浙江图书馆馆藏中国古农书目录,https://a.dushu.com/img/n200.png,¥0.00,浙江图书馆编,浙江图书馆,,1956-01-01,14页,中国文学论著集目续编.jpg
农业技术图书资料索引,https://a.dushu.com/img/n200.png,¥0.00,湖南省中山图书馆编,湖南省中山图书馆,,1958-01-01,4册，20页，16页，15页，23页,中国文学论著集目续编.jpg
内蒙古图书馆馆藏部份中文农业图书目录介绍,https://a.dushu.com/img/n200.png,¥0.00,内蒙古图书馆编,内蒙古图书馆,,1972-01-01,76页,中国文学论著集目续编.jpg
国外科技资料索引：1973,https://a.dushu.com/img/n200.png,¥0.35,中国科学技术情报研究所重庆分所编辑,中国科学技术情报研究所重庆分所,,1973-01-01,4册，61页，62页，58页，57页,中国文学论著集目续编.jpg
北京地质勘探学院中文地质期刊子目分类索引初编,https://a.dushu.com/img/n200.png,¥0.00,北京地质勘探学院图书馆编,北京地质勘探学院图书馆,,1957-01-01,205页,中国文学论著集目续编.jpg
海洋学文献索引：1966,https://a.dushu.com/img/n200.png,¥0.00,国家海洋局海洋科技情报研究所编,国家海洋局海洋科技情报研究所,,1966-01-01,3册，45页，96页，157页,中国文学论著集目续编.jpg
地震文献索引：日文部分,https://a.dushu.com/img/n200.png,¥0.00,中国科学院中南分院武汉图书馆，武汉地区中心图书馆委员会编,武汉地区中心图书馆委员会,,1968-01-01,93页,中国文学论著集目续编.jpg
中国科学院图书馆藏生理学、生物物理学和生物化学图书目录,https://a.dushu.com/img/n200.png,¥0.00,中国科学院图书馆编,中国科学院图书馆,,1958-01-01,,中国文学论著集目续编.jpg
俄西文生物学书籍目录：初稿,https://a.dushu.com/img/n200.png,¥0.00,中国科学院图书馆上海分馆编,中国科学院图书馆上海分馆,,1958-01-01,130页,中国文学论著集目续编.jpg
海洋水产资料目录,https://a.dushu.com/img/n200.png,¥0.00,浙江图书馆科技组编辑,浙江图书馆科技组,,1972-01-01,51页,中国文学论著集目续编.jpg
